               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,    metrics/mAP_0.75,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  99,              1.0994,             0.84298,              1.1968,             0.85386,             0.81146,             0.87317,             0.71449,             0.64846,             0.94553,             0.67553,              1.1458,            0.006766,            0.006766,            0.006766
                 100,              1.1052,             0.83653,              1.1976,             0.85444,             0.81116,             0.87341,             0.71457,             0.64887,             0.94478,              0.6747,              1.1453,            0.006733,            0.006733,            0.006733
                 101,              1.0943,             0.82905,              1.1952,             0.85315,             0.81279,             0.87379,             0.71523,             0.64923,             0.94411,             0.67378,              1.1449,              0.0067,              0.0067,              0.0067
                 102,              1.0994,             0.83642,              1.1972,             0.85253,             0.81342,             0.87402,             0.71499,             0.64965,             0.94391,             0.67338,              1.1448,            0.006667,            0.006667,            0.006667
                 103,              1.0938,             0.82656,              1.1951,             0.85125,             0.81488,             0.87415,             0.71493,             0.64976,             0.94342,             0.67288,              1.1445,            0.006634,            0.006634,            0.006634
                 104,              1.0897,             0.81839,              1.1906,             0.85361,             0.81212,             0.87401,             0.71469,             0.64971,             0.94314,             0.67229,              1.1442,            0.006601,            0.006601,            0.006601
                 105,               1.097,             0.83102,              1.1937,              0.8533,              0.8133,             0.87432,             0.71443,             0.64995,             0.94289,              0.6716,              1.1439,            0.006568,            0.006568,            0.006568
                 106,              1.0938,             0.82915,              1.1915,              0.8552,              0.8122,              0.8741,             0.71526,             0.65045,             0.94241,             0.67091,              1.1434,            0.006535,            0.006535,            0.006535
                 107,              1.0894,             0.82114,              1.1883,              0.8534,              0.8131,             0.87402,             0.71477,             0.65056,             0.94215,             0.67019,               1.143,            0.006502,            0.006502,            0.006502
                 108,              1.0857,             0.81424,              1.1836,             0.85478,             0.81293,             0.87419,             0.71472,             0.65054,             0.94159,             0.66937,              1.1424,            0.006469,            0.006469,            0.006469
                 109,                1.09,             0.81907,              1.1868,             0.85567,             0.81216,             0.87421,             0.71534,             0.65086,             0.94149,             0.66879,              1.1424,            0.006436,            0.006436,            0.006436
                 110,              1.0859,             0.82077,              1.1872,             0.85505,             0.81373,             0.87438,              0.7158,             0.65103,              0.9412,             0.66832,               1.142,            0.006403,            0.006403,            0.006403
                 111,              1.0843,             0.81228,              1.1825,             0.85637,             0.81338,             0.87442,              0.7162,               0.651,             0.94107,             0.66805,              1.1418,             0.00637,             0.00637,             0.00637
                 112,              1.0866,             0.81142,              1.1853,             0.85731,               0.813,             0.87466,             0.71655,             0.65123,             0.94091,              0.6674,              1.1416,            0.006337,            0.006337,            0.006337
                 113,              1.0805,             0.80571,               1.179,             0.85741,             0.81243,             0.87473,             0.71709,             0.65141,             0.94098,             0.66705,              1.1418,            0.006304,            0.006304,            0.006304
                 114,              1.0777,             0.80574,              1.1792,             0.85728,             0.81234,             0.87465,             0.71691,             0.65149,              0.9409,             0.66664,              1.1417,            0.006271,            0.006271,            0.006271
